City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Ponta Do Sol,PT,2021-01-10 03:47:41,32.6667,-17.1,53.01,70,65,3.0
119,Zadonsk,RU,2021-01-10 03:47:41,52.3904,38.9261,30.2,86,90,11.18
120,Klaksvik,FO,2021-01-10 03:43:47,62.2266,-6.589,30.2,93,90,10.36
121,Atuona,PF,2021-01-10 03:47:42,-9.8,-139.0333,78.08,79,76,16.84
122,Vao,NC,2021-01-10 03:45:02,-22.6667,167.4833,79.77,86,100,14.76
123,Iqaluit,CA,2021-01-10 03:44:26,63.7506,-68.5145,12.2,79,90,2.3
124,Vostok,RU,2021-01-10 03:44:15,46.4856,135.8833,-8.5,82,100,5.03
125,Leningradskiy,RU,2021-01-10 03:47:43,69.3833,178.4167,-20.38,85,94,5.75
126,Salalah,OM,2021-01-10 03:47:43,17.0151,54.0924,64.4,36,0,9.22
127,Hay River,CA,2021-01-10 03:43:05,60.8156,-115.7999,23.0,74,0,9.22
128,Poitiers,FR,2021-01-10 03:47:44,46.5833,0.3333,30.99,93,20,12.66
129,Kaitangata,NZ,2021-01-10 03:47:44,-46.2817,169.8464,66.0,55,99,13.0
130,Lakatoro,VU,2021-01-10 03:44:46,-16.0999,167.4164,85.5,68,95,3.15
131,Araouane,ML,2021-01-10 03:47:44,18.9048,-3.5265,69.82,22,0,11.99
132,Ancud,CL,2021-01-10 03:47:45,-41.8697,-73.8203,53.01,93,20,11.5
133,Hokitika,NZ,2021-01-10 03:47:45,-42.7167,170.9667,61.72,70,99,11.88
134,San Jeronimo,PE,2021-01-10 03:45:25,-11.9472,-75.2829,48.0,74,42,1.07
135,Yamada,JP,2021-01-10 03:47:46,39.4667,141.95,30.56,83,18,16.67
136,Mehamn,NO,2021-01-10 03:47:46,71.0357,27.8492,15.73,93,27,18.41
137,Castro,BR,2021-01-10 03:47:46,-24.7911,-50.0119,63.07,97,100,6.55
138,Zhashkiv,UA,2021-01-10 03:43:16,49.2454,30.1102,28.96,94,5,9.73
139,Camana,PE,2021-01-10 03:47:12,-16.6228,-72.7111,71.01,76,97,6.02
140,Goure,NE,2021-01-10 03:47:47,13.9835,10.2704,72.0,22,0,4.0
141,Kloulklubed,PW,2021-01-10 03:47:47,7.0419,134.2556,84.2,74,75,11.5
142,Provideniya,RU,2021-01-10 03:47:48,64.3833,-173.3,-6.84,82,0,5.99
143,Petrolina,BR,2021-01-10 03:47:48,-9.3986,-40.5008,84.2,48,40,2.3
144,Jeremie,HT,2021-01-10 03:47:49,18.65,-74.1167,77.25,79,100,10.4
145,Rio Gallegos,AR,2021-01-10 03:47:49,-51.6226,-69.2181,50.0,71,0,19.57
146,Krasnyy Yar,RU,2021-01-10 03:47:49,46.5331,48.3456,37.4,100,90,6.71
147,Hervey Bay,AU,2021-01-10 03:47:49,-25.2986,152.8535,80.01,70,23,8.99
148,Adelaide,AU,2021-01-10 03:45:57,-34.9333,138.6,96.01,27,0,11.5
149,Hualmay,PE,2021-01-10 03:47:50,-11.0964,-77.6139,70.21,85,97,7.83
150,Faya,SA,2021-01-10 03:47:50,18.3851,42.4509,46.4,65,0,1.77
151,Karratha,AU,2021-01-10 03:44:57,-20.7377,116.8463,106.3,16,5,14.09
152,Chadiza,ZM,2021-01-10 03:47:51,-14.0678,32.4392,66.24,97,100,0.63
153,Fortuna,US,2021-01-10 03:47:51,40.5982,-124.1573,52.0,87,90,9.22
154,Zambezi,ZM,2021-01-10 03:47:52,-13.5432,23.1047,65.89,95,100,5.17
155,George,ZA,2021-01-10 03:47:52,-33.963,22.4617,62.6,94,90,11.5
156,Richards Bay,ZA,2021-01-10 03:47:52,-28.783,32.0377,71.24,83,0,6.71
157,Dustlik,UZ,2021-01-10 03:47:52,40.5247,68.0358,29.35,81,0,16.31
158,Shepsi,RU,2021-01-10 03:47:53,44.0361,39.1489,50.94,85,100,5.03
159,Cabedelo,BR,2021-01-10 03:47:53,-6.9811,-34.8339,77.0,83,20,3.44
160,Boralday,KZ,2021-01-10 03:47:54,43.3578,76.8594,3.2,85,20,4.47
161,Hambantota,LK,2021-01-10 03:47:54,6.1241,81.1185,78.8,94,75,2.3
162,Skjervoy,NO,2021-01-10 03:45:06,70.0311,20.9714,21.07,92,1,24.05
163,Saint George,US,2021-01-10 03:47:48,37.1041,-113.5841,44.6,36,1,12.66
164,Iwanai,JP,2021-01-10 03:47:55,42.9744,140.5089,18.73,92,100,15.43
165,Chimbote,PE,2021-01-10 03:47:55,-9.0853,-78.5783,70.54,81,88,5.37
166,Longyearbyen,SJ,2021-01-10 03:47:55,78.2186,15.6401,28.4,74,20,12.66
167,Morondava,MG,2021-01-10 03:44:11,-20.2833,44.2833,81.0,80,42,7.52
168,Sao Filipe,CV,2021-01-10 03:47:55,14.8961,-24.4956,71.01,74,35,16.17
169,Belaya Gora,RU,2021-01-10 03:47:56,68.5333,146.4167,-21.96,87,100,3.36
170,Pirawa,IN,2021-01-10 03:47:56,24.1551,76.0273,69.01,69,0,5.68
171,Souillac,MU,2021-01-10 03:43:48,-20.5167,57.5167,80.6,83,75,8.05
172,Eyrarbakki,IS,2021-01-10 03:47:56,63.863,-21.1481,23.0,93,75,2.3
173,Tiarei,PF,2021-01-10 03:47:57,-17.5333,-149.3333,82.4,74,40,17.27
174,Svetlyy,RU,2021-01-10 03:47:57,54.675,20.1347,28.99,93,75,2.24
175,Garowe,SO,2021-01-10 03:47:57,8.4054,48.4845,63.34,79,0,14.58
176,Salym,RU,2021-01-10 03:47:57,60.0625,71.4789,-19.86,88,93,4.59
177,Qasigiannguit,GL,2021-01-10 03:47:58,68.8193,-51.1922,19.4,49,40,14.97
178,Bataipora,BR,2021-01-10 03:47:58,-22.2953,-53.2711,74.48,84,23,3.11
179,Mandalgarh,IN,2021-01-10 03:47:58,25.2,75.1,63.59,60,0,7.47
180,Port-Cartier,CA,2021-01-10 03:44:15,50.0334,-66.8654,24.8,68,7,8.05
181,Asau,RO,2021-01-10 03:47:59,46.4333,26.4,30.2,100,75,2.3
182,Lazaro Cardenas,MX,2021-01-10 03:47:59,17.9583,-102.2,73.45,81,63,3.38
183,Mayo,US,2021-01-10 03:45:18,38.8876,-76.5119,39.99,60,1,8.05
184,Rincon,US,2021-01-10 03:43:22,32.296,-81.2354,39.2,75,1,4.61
185,San Rafael,AR,2021-01-10 03:48:00,-34.6177,-68.3301,73.65,42,5,4.9
186,Baruun-Urt,MN,2021-01-10 03:48:00,46.6806,113.2792,-2.69,86,77,11.05
187,Lagoa,PT,2021-01-10 03:48:01,39.05,-27.9833,57.49,67,99,11.99
188,Port Elizabeth,ZA,2021-01-10 03:43:56,-33.918,25.5701,68.0,83,0,14.97
189,Kasongo-Lunda,CD,2021-01-10 03:48:01,-6.4667,16.8167,65.84,94,41,0.96
190,Te Anau,NZ,2021-01-10 03:44:37,-45.4167,167.7167,59.81,59,93,8.9
191,Saint-Augustin,CA,2021-01-10 03:48:02,51.226,-58.6502,28.76,94,100,10.98
192,New Norfolk,AU,2021-01-10 03:48:02,-42.7826,147.0587,79.0,37,34,7.0
193,Esperance,AU,2021-01-10 03:48:02,-33.8667,121.9,71.6,68,90,24.16
